20240604	11:50	b372eec7-3f00-4a4b-b123-fa8dfdc99f0c	/	GET
20240604	11:33	a034066b-eff7-46f1-9864-4f25b719bd23	/	GET
20240604	11:35	10bc7cd1-01f2-4c9f-a901-9b073d3742a8	/	GET
20240604	14:35	38a3a530-c1a9-4e3a-9508-4d7d45a5365f	/new-page.html	GET
20240604	14:27:40	de812390-57d1-4ef7-900d-f181a48c0843	/new-page.html	GET
20240604	14:30:30	7b4f5bb2-de41-49ea-80e9-b40550c60266	/	GET
20240604	14:34:09	a63af86d-8389-4eb9-9f48-8e41a14d3a11	/	GET
20240604	16:22:23	4f9cb347-1844-4a63-bc59-2c005591f531	/	GET
20240604	16:22:24	f4e67db1-4001-4c08-b3d3-fcc9ee7ec0f6	/	GET
20240604	16:22:32	4d4cc46f-df1e-47f8-8372-de05ea749fa2	/	GET
20240604	16:23:05	5999d656-f3bd-4ba5-9d5a-54cb89b6cd9b	/	GET
20240608	16:20:40	97880280-2377-4008-bba5-de1027c2cdf8	GET	undefined	/
20240608	16:40:44	1519a83c-a47a-49e2-a5b3-a7a8e36dfa28	GET	undefined	/
20240608	16:44:42	952edc83-3f6a-4900-93ba-ac04ca3815cb	GET	undefined	/
20240608	16:44:42	51046786-b52d-4551-bb35-5735dcfb752f	GET	undefined	/CSS/style.css
20240608	16:44:42	8f417f6e-07e2-4fdf-a359-b52cff048720	GET	undefined	/img/medium.webp
20240608	17:00:08	93866bb4-b629-4b24-a3b4-1c718587f165	GET	undefined	/
20240608	17:00:08	92d798e6-2642-4326-acc6-af62c57c6dad	GET	undefined	/CSS/style.css
20240608	17:00:08	2eddcf89-0638-48b5-9b6e-8006823227bc	GET	undefined	/img/medium.webp
20240608	17:02:33	94b138fe-08f4-41e9-91b0-ff07f3821339	GET	undefined	/
20240608	17:02:33	4ba5a883-a313-4fe2-aeca-aeafc47fec36	GET	undefined	/CSS/style.css
20240608	17:02:33	03414131-47ca-46f9-a95e-7c9896310739	GET	undefined	/img/medium.webp
20240608	17:35:32	65e9ec5f-9cfa-4de6-a755-aac4ab928abc	OPTIONS	https://www.google.com	/
20240608	17:35:32	995bea07-f4c1-4c10-8942-bce18f1ae877	GET	https://www.google.com	/
20240608	17:50:14	8492fb82-1f0b-4945-a262-40223b91a106	OPTIONS	https://www.google.com	/
20240608	17:50:14	65a1d9ce-83be-42eb-899f-2b73ba54ec6e	GET	https://www.google.com	/
